"Course_name","Course_content","Course_Prerequisites","Course_Main_themes","Course_Main_Aims","Course_master"
"Languages and translators","Introduction 		Formal Languages 		Chomsky's Formal Grammars 		Languages and Regular Expressions, Automata finite set of states 		Lexical Analysis 		Top-down Parsing: general method 		Top-down Parsing based on grammars LL (1) 		Scala and specific language to conduct DSL  		Some functional programming concepts relating to DSL (monads, etc.)","Aims","Methods to analyze context-free languages, upstream and downstream methods 		Generators of lexical analyzers and parsers 		Statistical semantics and attributed grammars 		Methods to translate a source code in a target code, and generation of target code 		Machine virtuelle et byte-code (JVM) 		Garbage Collection et gestion mémoire 		Domain Specific Languages (DSL)","Given the learning outcomes of the ""Master in Computer Science and Engineering"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		INFO1.1-3 		INFO2.2-4 		INFO5.2, INFO5.4, INFO5.5 		INFO6.1, INFO6.4 	Given the learning outcomes of the ""Master [120] in Computer Science"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		SINF1.M2 		SINF2.2-4 		SINF5.2, SINF5.4, SINF5.5 		SINF6.1, SINF6.4 	Given the learning outcomes of the ""Master [60] in Computer Science"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		1SINF1.M2 		1SINF2.2-4 		1SINF5.2, 1SINF5.4, 1SINF5.5 		1SINF6.1, 1SINF6.4 	Students completing successfully this course will be able to  		explain in a practical way the structure of compilers dealing with algorithmic languages 		design and implement a compiler for a practical language which solves a interesting problem 		show the interest of compiling techniques in problem resolving 	Students will have developed skills and operational methodology. In particular, they have developed their ability to  		treat rigorously a problem, justifying and validating each step of a project to be able to rely on it to implement the following one 		explain in practical terms how a source code (Java) is finally translated into byte-code. 		explain the enforcement mechanisms byte code by JVM  		explain memory management during the execution of a program  		explain how garbage collection mechanismsThe contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [60] in Computer Science"
"Computer networks: configuration and management","Traffic control in IP networks 		IP Mutlicast 		IPv6 		QoS 		MultiProtocol Label Switching 		BGP/MPLS VPNs 		Evolution of the Internet architecture","Aims","network architectures and the role of virtual networks 		quality of service 		provision of multicast 		network reliability 		principles of network management","Given the learning outcomes of the ""Master in Computer Science and Engineering"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		INFO1.1-3 		INFO2.2-4 		INFO5.2, INFO5.4-5 		INFO6.1, INFO6.3, INFO6.4 	Given the learning outcomes of the ""Master [120] in Computer Science"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		SINF1.M1 		SINF2.2-4 		SINF5.2, SINF5.4-5 		SINF6.1, SINF6.3, SINF6.4 	Students completing successfully this course will be able to  		design, deploy and manage data networks 		explain the threats against networks and the defense strategies 		deploy mechanisms to ensure quality of service, security and reliabilityThe contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Computer Science and Engineering"
"Computer networks: configuration and management","Traffic control in IP networks 		IP Mutlicast 		IPv6 		QoS 		MultiProtocol Label Switching 		BGP/MPLS VPNs 		Evolution of the Internet architecture","Aims","network architectures and the role of virtual networks 		quality of service 		provision of multicast 		network reliability 		principles of network management","Given the learning outcomes of the ""Master in Computer Science and Engineering"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		INFO1.1-3 		INFO2.2-4 		INFO5.2, INFO5.4-5 		INFO6.1, INFO6.3, INFO6.4 	Given the learning outcomes of the ""Master [120] in Computer Science"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		SINF1.M1 		SINF2.2-4 		SINF5.2, SINF5.4-5 		SINF6.1, SINF6.3, SINF6.4 	Students completing successfully this course will be able to  		design, deploy and manage data networks 		explain the threats against networks and the defense strategies 		deploy mechanisms to ensure quality of service, security and reliabilityThe contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Computer Science"
"Concurrent systems : models and analysis","Models of Concurrent Systems: processes and actions, conditions and choices, concurrency, synchronization, process algebras. 			Semantics of Concurrent Systems: state machines and transition systems, finite and infinite traces, concurrency by interleaving, equivalences and minimization. 			Properties of Concurrent Systems: invariants, safety and liveness properties, temporal logic, refinement relations. 			Verification of Concurrent Systems: model checking, equivalence checking.","Aims","This course studies the principles, formalisms and tools used to model and analyse concurrent computer systems.  		Models of Concurrent Systems 		Semantics of Concurrent Systems 		Properties of Concurrent Systems 		Verification of Concurrent Systems","Given the learning outcomes of the ""Master in Computer Science and Engineering"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		INFO1.1-3 		INFO2.2-3, INFO2.5 		INFO5.2, INFO5.5 		INFO6.1, INFO6.4 	Given the learning outcomes of the ""Master [120] in Computer Science"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		SINF1.M1, SINF1.M2 		SINF2.2-3, SINF2.5 		SINF5.2, SINF5.5 		SINF6.1, SINF6.4 	Students completing successfully this course will be able to  		master the mathematic concepts and tools which enable modelling and analysis of concurrent computer systems; 		model an actual concurrent system in a appropriate abstract formalism; 		use automated verification techniques to analyse concurrent systems. 	Students will have developed skills and operational methodology. In particular, they have developed their ability to  		model existing software; 		thinking with abstractions and use a formalized approach to infer properties of an existing system.The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Computer Science and Engineering"
"Concurrent systems : models and analysis","Models of Concurrent Systems: processes and actions, conditions and choices, concurrency, synchronization, process algebras. 			Semantics of Concurrent Systems: state machines and transition systems, finite and infinite traces, concurrency by interleaving, equivalences and minimization. 			Properties of Concurrent Systems: invariants, safety and liveness properties, temporal logic, refinement relations. 			Verification of Concurrent Systems: model checking, equivalence checking.","Aims","This course studies the principles, formalisms and tools used to model and analyse concurrent computer systems.  		Models of Concurrent Systems 		Semantics of Concurrent Systems 		Properties of Concurrent Systems 		Verification of Concurrent Systems","Given the learning outcomes of the ""Master in Computer Science and Engineering"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		INFO1.1-3 		INFO2.2-3, INFO2.5 		INFO5.2, INFO5.5 		INFO6.1, INFO6.4 	Given the learning outcomes of the ""Master [120] in Computer Science"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		SINF1.M1, SINF1.M2 		SINF2.2-3, SINF2.5 		SINF5.2, SINF5.5 		SINF6.1, SINF6.4 	Students completing successfully this course will be able to  		master the mathematic concepts and tools which enable modelling and analysis of concurrent computer systems; 		model an actual concurrent system in a appropriate abstract formalism; 		use automated verification techniques to analyse concurrent systems. 	Students will have developed skills and operational methodology. In particular, they have developed their ability to  		model existing software; 		thinking with abstractions and use a formalized approach to infer properties of an existing system.The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Computer Science"
"Concurrent systems : models and analysis","Models of Concurrent Systems: processes and actions, conditions and choices, concurrency, synchronization, process algebras. 			Semantics of Concurrent Systems: state machines and transition systems, finite and infinite traces, concurrency by interleaving, equivalences and minimization. 			Properties of Concurrent Systems: invariants, safety and liveness properties, temporal logic, refinement relations. 			Verification of Concurrent Systems: model checking, equivalence checking.","Aims","This course studies the principles, formalisms and tools used to model and analyse concurrent computer systems.  		Models of Concurrent Systems 		Semantics of Concurrent Systems 		Properties of Concurrent Systems 		Verification of Concurrent Systems","Given the learning outcomes of the ""Master in Computer Science and Engineering"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		INFO1.1-3 		INFO2.2-3, INFO2.5 		INFO5.2, INFO5.5 		INFO6.1, INFO6.4 	Given the learning outcomes of the ""Master [120] in Computer Science"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		SINF1.M1, SINF1.M2 		SINF2.2-3, SINF2.5 		SINF5.2, SINF5.5 		SINF6.1, SINF6.4 	Students completing successfully this course will be able to  		master the mathematic concepts and tools which enable modelling and analysis of concurrent computer systems; 		model an actual concurrent system in a appropriate abstract formalism; 		use automated verification techniques to analyse concurrent systems. 	Students will have developed skills and operational methodology. In particular, they have developed their ability to  		model existing software; 		thinking with abstractions and use a formalized approach to infer properties of an existing system.The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Data Sciences Engineering"
"Concurrent systems : models and analysis","Models of Concurrent Systems: processes and actions, conditions and choices, concurrency, synchronization, process algebras. 			Semantics of Concurrent Systems: state machines and transition systems, finite and infinite traces, concurrency by interleaving, equivalences and minimization. 			Properties of Concurrent Systems: invariants, safety and liveness properties, temporal logic, refinement relations. 			Verification of Concurrent Systems: model checking, equivalence checking.","Aims","This course studies the principles, formalisms and tools used to model and analyse concurrent computer systems.  		Models of Concurrent Systems 		Semantics of Concurrent Systems 		Properties of Concurrent Systems 		Verification of Concurrent Systems","Given the learning outcomes of the ""Master in Computer Science and Engineering"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		INFO1.1-3 		INFO2.2-3, INFO2.5 		INFO5.2, INFO5.5 		INFO6.1, INFO6.4 	Given the learning outcomes of the ""Master [120] in Computer Science"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		SINF1.M1, SINF1.M2 		SINF2.2-3, SINF2.5 		SINF5.2, SINF5.5 		SINF6.1, SINF6.4 	Students completing successfully this course will be able to  		master the mathematic concepts and tools which enable modelling and analysis of concurrent computer systems; 		model an actual concurrent system in a appropriate abstract formalism; 		use automated verification techniques to analyse concurrent systems. 	Students will have developed skills and operational methodology. In particular, they have developed their ability to  		model existing software; 		thinking with abstractions and use a formalized approach to infer properties of an existing system.The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in data Science: Information technology"
"Secured systems engineering","The current attractive way to perform authentication with token is to use the RFID technology. Several billion RFID devices are sold every year and no one engineer should ignore this technology, its nice features, but its security flaws as well. To illustrate the course, we will see how to break an access card, a biometric passport, how to steal a car while being 20'000 km far from it, etc.  	From this technology, the course will describe and extend the main points one should take care when designing a secure application.  	Develop from scratch a secured solution.  		How to read a standard. 		Implement cryptographic tools. 		Consider the solution as a whole. 		... 	Discover a new field: ubiquitous computing, especially RFID.  		Everyday life applications based on RFID. 		Several billions computing devices around us. 		Computer science is no longer only PCs interconnected. 		...","Aims","The objective of the course is to make the student aware of the problem of computer security by adopting the ""ethical hacking"" approach.  The approach followed is that of showing how the vulnerabilities of a computer system can be exploited to threaten security. From there, the student will develop the skills necessary to detect these vulnerabilities and to protect the system. These can be deployed upstream or downstream (depending on the development process). We will also look at the cost and strength of these measures.  The student will also receive a very brief introduction to malware analysis and the techniques to detect them.  During this course, the student will also be aware of the place that cybersecurity takes in industry, as well as the ethical issues that are related to this field.  For information, the vulnerabilities addressed will be: buffer overflow, integer overflow, format string, data race. Among the protection we will study the technique of the non-executable stack or even that of the ""canary"". For malware analysis, we will focus on MIRAI and the YARA tool.","Given the learning outcomes of the ""Master in Computer Science and Engineering"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		INFO1.1-3 		INFO2.1-5 		INFO5.2, INFO5.4-5 		INFO6.1, INFO6.3, INFO6.4 	Given the learning outcomes of the ""Master [120] in Computer Science"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		SINF1.M1 		SINF2.1-5 		SINF5.2, SINF5.4-5 		SINF6.1, SINF6.3, SINF6.4 	Students completing successfully this course will be able to  		design of computer systems using the authentication token ensuring the security of these systems, 		implement a secure token-based application whose main objective is to provide authentication, 		explain the techniques used in security in order to convince potential users that these aspects have been properly taken into account, 	Students will have developed skills and operational methodology. In particular, they have developed their ability to  		write a brief technical report to highlight the main features of software that has been developed, utilizing the proper terminology and the appropriate  theoretical concepts, 		achieve a successful demonstration of the software that has been developed, choosing the relevant tests according to the specifications and ensuring in advance that the software passes them, 		consider the ethical dimensions (particularly regarding respect for privacy, confidentiality of information, ...)  as part of their professional practice, 		argument to the commoditization of computer systems and risks that this entails in terms of information security and in particular for the protection of privacy.The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Electrical Engineering"
"Secured systems engineering","The current attractive way to perform authentication with token is to use the RFID technology. Several billion RFID devices are sold every year and no one engineer should ignore this technology, its nice features, but its security flaws as well. To illustrate the course, we will see how to break an access card, a biometric passport, how to steal a car while being 20'000 km far from it, etc.  	From this technology, the course will describe and extend the main points one should take care when designing a secure application.  	Develop from scratch a secured solution.  		How to read a standard. 		Implement cryptographic tools. 		Consider the solution as a whole. 		... 	Discover a new field: ubiquitous computing, especially RFID.  		Everyday life applications based on RFID. 		Several billions computing devices around us. 		Computer science is no longer only PCs interconnected. 		...","Aims","The objective of the course is to make the student aware of the problem of computer security by adopting the ""ethical hacking"" approach.  The approach followed is that of showing how the vulnerabilities of a computer system can be exploited to threaten security. From there, the student will develop the skills necessary to detect these vulnerabilities and to protect the system. These can be deployed upstream or downstream (depending on the development process). We will also look at the cost and strength of these measures.  The student will also receive a very brief introduction to malware analysis and the techniques to detect them.  During this course, the student will also be aware of the place that cybersecurity takes in industry, as well as the ethical issues that are related to this field.  For information, the vulnerabilities addressed will be: buffer overflow, integer overflow, format string, data race. Among the protection we will study the technique of the non-executable stack or even that of the ""canary"". For malware analysis, we will focus on MIRAI and the YARA tool.","Given the learning outcomes of the ""Master in Computer Science and Engineering"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		INFO1.1-3 		INFO2.1-5 		INFO5.2, INFO5.4-5 		INFO6.1, INFO6.3, INFO6.4 	Given the learning outcomes of the ""Master [120] in Computer Science"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		SINF1.M1 		SINF2.1-5 		SINF5.2, SINF5.4-5 		SINF6.1, SINF6.3, SINF6.4 	Students completing successfully this course will be able to  		design of computer systems using the authentication token ensuring the security of these systems, 		implement a secure token-based application whose main objective is to provide authentication, 		explain the techniques used in security in order to convince potential users that these aspects have been properly taken into account, 	Students will have developed skills and operational methodology. In particular, they have developed their ability to  		write a brief technical report to highlight the main features of software that has been developed, utilizing the proper terminology and the appropriate  theoretical concepts, 		achieve a successful demonstration of the software that has been developed, choosing the relevant tests according to the specifications and ensuring in advance that the software passes them, 		consider the ethical dimensions (particularly regarding respect for privacy, confidentiality of information, ...)  as part of their professional practice, 		argument to the commoditization of computer systems and risks that this entails in terms of information security and in particular for the protection of privacy.The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Mathematical Engineering"
"Secured systems engineering","The current attractive way to perform authentication with token is to use the RFID technology. Several billion RFID devices are sold every year and no one engineer should ignore this technology, its nice features, but its security flaws as well. To illustrate the course, we will see how to break an access card, a biometric passport, how to steal a car while being 20'000 km far from it, etc.  	From this technology, the course will describe and extend the main points one should take care when designing a secure application.  	Develop from scratch a secured solution.  		How to read a standard. 		Implement cryptographic tools. 		Consider the solution as a whole. 		... 	Discover a new field: ubiquitous computing, especially RFID.  		Everyday life applications based on RFID. 		Several billions computing devices around us. 		Computer science is no longer only PCs interconnected. 		...","Aims","The objective of the course is to make the student aware of the problem of computer security by adopting the ""ethical hacking"" approach.  The approach followed is that of showing how the vulnerabilities of a computer system can be exploited to threaten security. From there, the student will develop the skills necessary to detect these vulnerabilities and to protect the system. These can be deployed upstream or downstream (depending on the development process). We will also look at the cost and strength of these measures.  The student will also receive a very brief introduction to malware analysis and the techniques to detect them.  During this course, the student will also be aware of the place that cybersecurity takes in industry, as well as the ethical issues that are related to this field.  For information, the vulnerabilities addressed will be: buffer overflow, integer overflow, format string, data race. Among the protection we will study the technique of the non-executable stack or even that of the ""canary"". For malware analysis, we will focus on MIRAI and the YARA tool.","Given the learning outcomes of the ""Master in Computer Science and Engineering"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		INFO1.1-3 		INFO2.1-5 		INFO5.2, INFO5.4-5 		INFO6.1, INFO6.3, INFO6.4 	Given the learning outcomes of the ""Master [120] in Computer Science"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		SINF1.M1 		SINF2.1-5 		SINF5.2, SINF5.4-5 		SINF6.1, SINF6.3, SINF6.4 	Students completing successfully this course will be able to  		design of computer systems using the authentication token ensuring the security of these systems, 		implement a secure token-based application whose main objective is to provide authentication, 		explain the techniques used in security in order to convince potential users that these aspects have been properly taken into account, 	Students will have developed skills and operational methodology. In particular, they have developed their ability to  		write a brief technical report to highlight the main features of software that has been developed, utilizing the proper terminology and the appropriate  theoretical concepts, 		achieve a successful demonstration of the software that has been developed, choosing the relevant tests according to the specifications and ensuring in advance that the software passes them, 		consider the ethical dimensions (particularly regarding respect for privacy, confidentiality of information, ...)  as part of their professional practice, 		argument to the commoditization of computer systems and risks that this entails in terms of information security and in particular for the protection of privacy.The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Computer Science and Engineering"
"Secured systems engineering","The current attractive way to perform authentication with token is to use the RFID technology. Several billion RFID devices are sold every year and no one engineer should ignore this technology, its nice features, but its security flaws as well. To illustrate the course, we will see how to break an access card, a biometric passport, how to steal a car while being 20'000 km far from it, etc.  	From this technology, the course will describe and extend the main points one should take care when designing a secure application.  	Develop from scratch a secured solution.  		How to read a standard. 		Implement cryptographic tools. 		Consider the solution as a whole. 		... 	Discover a new field: ubiquitous computing, especially RFID.  		Everyday life applications based on RFID. 		Several billions computing devices around us. 		Computer science is no longer only PCs interconnected. 		...","Aims","The objective of the course is to make the student aware of the problem of computer security by adopting the ""ethical hacking"" approach.  The approach followed is that of showing how the vulnerabilities of a computer system can be exploited to threaten security. From there, the student will develop the skills necessary to detect these vulnerabilities and to protect the system. These can be deployed upstream or downstream (depending on the development process). We will also look at the cost and strength of these measures.  The student will also receive a very brief introduction to malware analysis and the techniques to detect them.  During this course, the student will also be aware of the place that cybersecurity takes in industry, as well as the ethical issues that are related to this field.  For information, the vulnerabilities addressed will be: buffer overflow, integer overflow, format string, data race. Among the protection we will study the technique of the non-executable stack or even that of the ""canary"". For malware analysis, we will focus on MIRAI and the YARA tool.","Given the learning outcomes of the ""Master in Computer Science and Engineering"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		INFO1.1-3 		INFO2.1-5 		INFO5.2, INFO5.4-5 		INFO6.1, INFO6.3, INFO6.4 	Given the learning outcomes of the ""Master [120] in Computer Science"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		SINF1.M1 		SINF2.1-5 		SINF5.2, SINF5.4-5 		SINF6.1, SINF6.3, SINF6.4 	Students completing successfully this course will be able to  		design of computer systems using the authentication token ensuring the security of these systems, 		implement a secure token-based application whose main objective is to provide authentication, 		explain the techniques used in security in order to convince potential users that these aspects have been properly taken into account, 	Students will have developed skills and operational methodology. In particular, they have developed their ability to  		write a brief technical report to highlight the main features of software that has been developed, utilizing the proper terminology and the appropriate  theoretical concepts, 		achieve a successful demonstration of the software that has been developed, choosing the relevant tests according to the specifications and ensuring in advance that the software passes them, 		consider the ethical dimensions (particularly regarding respect for privacy, confidentiality of information, ...)  as part of their professional practice, 		argument to the commoditization of computer systems and risks that this entails in terms of information security and in particular for the protection of privacy.The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Computer Science"
"Cloud Computing","This course focuses on the issues and programming models related to cloud computing environments and distributed data processing technologies: data partitioning, storage schemes, stream processing, and ""mostly shared-nothing"" parallel algorithms.","You would already have passed LINGI2172 Databases","Architectural principles of cloud computing 		Scalability of cloud services (storage, computing, ...) 		Building blocks for cloud services 		Large scale computations in cloud environments 		Programming models for cloud services 		Providing scalable web services from the cloud","Given the learning outcomes of the ""Master in Computer Science and Engineering"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		INFO1.1-3 		INFO2.2-3, INFO2.5 		INFO5.2, INFO5.4-5 		INFO6.1, INFO6.3, INFO6.4 	Given the learning outcomes of the ""Master [120] in Computer Science"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		SINF1.M1 		SINF2.2-3, SINF2.5 		SINF5.2, SINF5.4-5 		SINF6.1, SINF6.3, SINF6.4 	Students having completed this course successfully will be able to  		explain the goals, benefits and models of cloud computing, providing practical examples 		describe the main components of cloud computing 		design and conceive cloud services which operate reliably at scale 		explain how storage and virtualization are used in the cloud and apply this in practice 		apply the fundamental principles of multi-tier web applications and services in a cloud environment 		tackle big data computation problems (e.g., through the Map Reduce computing paradigm)The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Computer Science and Engineering"
"Cloud Computing","This course focuses on the issues and programming models related to cloud computing environments and distributed data processing technologies: data partitioning, storage schemes, stream processing, and ""mostly shared-nothing"" parallel algorithms.","You would already have passed LINGI2172 Databases","Architectural principles of cloud computing 		Scalability of cloud services (storage, computing, ...) 		Building blocks for cloud services 		Large scale computations in cloud environments 		Programming models for cloud services 		Providing scalable web services from the cloud","Given the learning outcomes of the ""Master in Computer Science and Engineering"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		INFO1.1-3 		INFO2.2-3, INFO2.5 		INFO5.2, INFO5.4-5 		INFO6.1, INFO6.3, INFO6.4 	Given the learning outcomes of the ""Master [120] in Computer Science"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		SINF1.M1 		SINF2.2-3, SINF2.5 		SINF5.2, SINF5.4-5 		SINF6.1, SINF6.3, SINF6.4 	Students having completed this course successfully will be able to  		explain the goals, benefits and models of cloud computing, providing practical examples 		describe the main components of cloud computing 		design and conceive cloud services which operate reliably at scale 		explain how storage and virtualization are used in the cloud and apply this in practice 		apply the fundamental principles of multi-tier web applications and services in a cloud environment 		tackle big data computation problems (e.g., through the Map Reduce computing paradigm)The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Computer Science"
"Cloud Computing","This course focuses on the issues and programming models related to cloud computing environments and distributed data processing technologies: data partitioning, storage schemes, stream processing, and ""mostly shared-nothing"" parallel algorithms.","You would already have passed LINGI2172 Databases","Architectural principles of cloud computing 		Scalability of cloud services (storage, computing, ...) 		Building blocks for cloud services 		Large scale computations in cloud environments 		Programming models for cloud services 		Providing scalable web services from the cloud","Given the learning outcomes of the ""Master in Computer Science and Engineering"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		INFO1.1-3 		INFO2.2-3, INFO2.5 		INFO5.2, INFO5.4-5 		INFO6.1, INFO6.3, INFO6.4 	Given the learning outcomes of the ""Master [120] in Computer Science"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		SINF1.M1 		SINF2.2-3, SINF2.5 		SINF5.2, SINF5.4-5 		SINF6.1, SINF6.3, SINF6.4 	Students having completed this course successfully will be able to  		explain the goals, benefits and models of cloud computing, providing practical examples 		describe the main components of cloud computing 		design and conceive cloud services which operate reliably at scale 		explain how storage and virtualization are used in the cloud and apply this in practice 		apply the fundamental principles of multi-tier web applications and services in a cloud environment 		tackle big data computation problems (e.g., through the Map Reduce computing paradigm)The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Mathematical Engineering"
"Cloud Computing","This course focuses on the issues and programming models related to cloud computing environments and distributed data processing technologies: data partitioning, storage schemes, stream processing, and ""mostly shared-nothing"" parallel algorithms.","You would already have passed LINGI2172 Databases","Architectural principles of cloud computing 		Scalability of cloud services (storage, computing, ...) 		Building blocks for cloud services 		Large scale computations in cloud environments 		Programming models for cloud services 		Providing scalable web services from the cloud","Given the learning outcomes of the ""Master in Computer Science and Engineering"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		INFO1.1-3 		INFO2.2-3, INFO2.5 		INFO5.2, INFO5.4-5 		INFO6.1, INFO6.3, INFO6.4 	Given the learning outcomes of the ""Master [120] in Computer Science"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		SINF1.M1 		SINF2.2-3, SINF2.5 		SINF5.2, SINF5.4-5 		SINF6.1, SINF6.3, SINF6.4 	Students having completed this course successfully will be able to  		explain the goals, benefits and models of cloud computing, providing practical examples 		describe the main components of cloud computing 		design and conceive cloud services which operate reliably at scale 		explain how storage and virtualization are used in the cloud and apply this in practice 		apply the fundamental principles of multi-tier web applications and services in a cloud environment 		tackle big data computation problems (e.g., through the Map Reduce computing paradigm)The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in data Science: Statistic"
"Cloud Computing","This course focuses on the issues and programming models related to cloud computing environments and distributed data processing technologies: data partitioning, storage schemes, stream processing, and ""mostly shared-nothing"" parallel algorithms.","You would already have passed LINGI2172 Databases","Architectural principles of cloud computing 		Scalability of cloud services (storage, computing, ...) 		Building blocks for cloud services 		Large scale computations in cloud environments 		Programming models for cloud services 		Providing scalable web services from the cloud","Given the learning outcomes of the ""Master in Computer Science and Engineering"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		INFO1.1-3 		INFO2.2-3, INFO2.5 		INFO5.2, INFO5.4-5 		INFO6.1, INFO6.3, INFO6.4 	Given the learning outcomes of the ""Master [120] in Computer Science"" program, this course contributes to the development, acquisition and evaluation of the following learning outcomes:  		SINF1.M1 		SINF2.2-3, SINF2.5 		SINF5.2, SINF5.4-5 		SINF6.1, SINF6.3, SINF6.4 	Students having completed this course successfully will be able to  		explain the goals, benefits and models of cloud computing, providing practical examples 		describe the main components of cloud computing 		design and conceive cloud services which operate reliably at scale 		explain how storage and virtualization are used in the cloud and apply this in practice 		apply the fundamental principles of multi-tier web applications and services in a cloud environment 		tackle big data computation problems (e.g., through the Map Reduce computing paradigm)The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Data Sciences Engineering"
